"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","Rost%"
"Brock Burke","LAA","RP","64.4","63","3","1","4.00","1.30","29","61","23","8","59","0","3","0","0%"
"Elvis Peguero","MIL","RP","57.1","52","3","0","3.91","1.35","25","53","24","5","54","0","3","0","0%"
"Tayler Scott","HOU","RP","65.2","66","4","1","4.05","1.34","29","58","29","8","62","0","3","0","1%"
"Scott Barlow","CIN","RP","57.5","63","3","1","4.01","1.32","26","51","25","7","55","0","3","0","0%"
"Bailey Falter","PIT","SP","123.6","91","6","0","4.56","1.33","63","128","37","18","35","21","8","0","0%"
"Luke Little","CHC","RP","41.4","49","2","0","3.40","1.30","16","32","22","3","41","0","2","0","0%"
"Jairo Iriarte","CWS","SP,RP","35.4","31","1","0","4.74","1.46","19","34","17","5","22","3","2","0","0%"
"Cal Quantrill","MIA","SP","134.5","97","7","0","4.85","1.44","72","142","51","19","25","25","10","0","0%"
"Bryan King","HOU","RP","56.1","57","2","0","3.64","1.30","23","50","23","6","55","0","2","0","0%"
"Tink Hence","STL","SP","16.7","15","1","0","4.29","1.30","8","16","6","2","3","3","1","0","1%"
"John Schreiber","KC","RP","60.6","56","3","1","3.87","1.32","26","56","24","5","59","0","3","0","1%"
"Jack Kochanowicz","LAA","SP","90.0","52","4","0","4.71","1.38","47","100","25","12","24","14","6","0","0%"
"Daysbel Hernandez","ATL","RP","53.2","61","3","0","3.82","1.34","23","45","26","6","51","0","2","0","0%"
"Gabe Speier","SEA","RP","52.9","56","2","0","3.75","1.23","22","47","18","6","53","0","2","0","0%"
"Chayce McDermott","BAL","SP","43.9","47","2","0","4.18","1.36","20","38","22","6","20","5","2","0","0%"
"Albert Suarez","BAL","SP,RP","76.2","66","4","0","4.36","1.32","37","76","25","11","51","4","3","0","1%"
"Jacob Webb","TEX","RP","62.7","63","3","3","4.24","1.32","30","55","28","8","61","0","3","0","0%"
"Adam Mazur","MIA","SP","38.4","29","2","0","4.76","1.38","20","41","12","6","9","7","3","0","0%"
"Keaton Winn","SF","SP","46.9","42","2","0","4.04","1.26","21","45","14","5","32","2","3","0","0%"
"Dylan Floro","ATH","RP","46.6","36","3","0","3.97","1.31","21","47","14","4","45","0","2","0","1%"
"Sam Moll","CIN","RP","59.7","60","3","0","4.05","1.33","27","54","26","7","59","0","3","0","0%"
"Jonathan Cannon","CWS","SP","151.3","110","6","0","4.79","1.39","81","157","53","22","30","26","11","0","1%"
"Randy Vasquez","SD","SP","61.8","47","3","0","4.58","1.37","31","63","21","9","21","10","4","0","0%"
"Caleb Ferguson","PIT","RP","57.4","60","3","1","3.74","1.33","24","53","23","5","57","0","3","0","0%"
"Robert Stephenson","LAA","RP","31.8","38","2","0","3.94","1.17","14","27","10","5","31","0","2","0","1%"
"Carmen Mlodzinski","PIT","SP,RP","61.0","54","3","1","4.21","1.36","29","58","25","7","55","0","4","0","1%"
"Logan Henderson","MIL","SP","9.1","9","1","0","4.36","1.19","4","8","3","2","8","0","1","0","0%"
"Wandy Peralta","SD","RP","49.4","40","2","1","3.86","1.32","21","45","20","5","49","0","3","0","0%"
"James McArthur","KC","RP","29.7","27","2","1","4.22","1.35","14","30","10","3","28","0","2","0","0%"
"Alex Lange","DET","RP","35.9","40","2","1","3.83","1.36","15","30","19","3","35","0","2","0","1%"
"Collin Snider","SEA","RP","61.0","57","3","2","4.11","1.36","28","57","26","7","58","0","3","0","0%"
"Tyler Ferguson","ATH","RP","63.1","68","3","1","4.11","1.35","29","54","31","7","59","0","4","0","0%"
"Nick Mears","MIL","RP","59.5","73","3","0","3.87","1.30","26","49","28","7","57","0","3","0","0%"
"Ryan Yarbrough","TOR","SP,RP","31.5","23","2","0","4.31","1.25","15","31","9","4","23","1","1","0","2%"
"Tayler Saucedo","SEA","RP","58.3","55","3","0","3.81","1.32","25","52","25","6","57","0","2","0","0%"
"German Marquez","COL","SP","142.9","117","7","0","4.81","1.40","76","151","48","21","26","26","10","0","0%"
"Graham Ashcraft","CIN","SP","47.5","38","2","0","4.36","1.34","23","49","15","6","38","2","3","0","0%"
"Andrew Chafin","DET","RP","47.6","53","2","1","3.90","1.33","21","41","22","5","48","0","3","0","1%"
"Joey Estes","ATH","SP","110.3","82","5","0","5.03","1.30","62","113","30","22","27","19","7","1","0%"
"Brusdar Graterol","LAD","RP","23.8","20","1","0","3.26","1.18","9","22","6","2","22","0","1","0","1%"
"Trevor Rogers","BAL","SP","40.2","34","2","0","4.39","1.37","20","40","15","5","19","4","2","0","0%"
"Drew Thorpe","CWS","SP","87.4","68","4","0","4.55","1.34","44","85","32","13","16","16","6","0","1%"
"Shawn Armstrong","TEX","SP,RP","63.0","61","3","0","4.15","1.28","29","60","21","8","58","0","3","0","0%"
"Quinn Priester","BOS","SP,RP","47.5","39","3","0","4.26","1.34","22","48","16","5","27","4","3","0","0%"
"Jordan Wicks","CHC","SP","46.6","41","2","0","4.27","1.32","22","45","16","6","17","7","2","0","0%"
"Erik Sabrowski","CLE","RP","41.5","49","3","0","3.78","1.38","17","35","22","4","40","0","2","0","0%"
"Josh Sborz","TEX","RP","35.4","40","2","2","3.91","1.28","15","31","15","4","33","0","2","0","0%"
"Troy Taylor","SEA","RP","48.0","48","3","0","3.84","1.29","21","42","20","6","49","0","3","0","0%"
"Braxton Ashcraft","PIT","SP","37.3","32","1","0","4.10","1.25","17","37","10","5","23","3","2","0","0%"
"Tristan Beck","SF","SP,RP","47.0","41","2","0","4.09","1.27","21","46","14","6","38","0","2","0","0%"
"Matthew Liberatore","STL","SP,RP","75.2","68","4","1","4.09","1.32","34","71","28","9","57","3","4","0","0%"
"Phil Maton","STL","RP","59.9","58","3","1","4.10","1.28","27","54","23","8","60","0","3","0","0%"
"Greg Weissert","BOS","RP","61.3","59","3","0","4.07","1.33","28","58","24","7","59","0","3","0","0%"
"Julian Merryweather","CHC","RP","50.3","55","3","0","3.88","1.30","22","45","21","6","46","0","2","0","0%"
"Michael Tonkin","MIN","RP","53.6","54","3","0","4.24","1.30","25","49","20","7","48","0","2","0","0%"
"Carson Spiers","CIN","SP,RP","47.2","41","2","0","4.90","1.39","26","50","16","8","32","2","3","0","0%"
"Brenan Hanifee","DET","SP,RP","47.0","37","2","0","3.80","1.27","20","46","13","5","42","0","2","0","0%"
"Dakota Hudson","LAA","SP","22.1","14","1","0","4.73","1.48","12","23","10","3","15","1","1","0","0%"
"Keider Montero","DET","SP","41.7","35","2","0","4.49","1.36","21","41","16","6","21","4","2","1","0%"
"Bryan Hoeing","SD","RP","56.6","45","3","0","4.10","1.29","26","56","17","7","48","0","3","0","0%"
"Anthony Banda","LAD","RP","58.2","58","3","0","4.10","1.33","27","55","23","7","55","0","2","0","0%"
"Nic Enright","CLE","RP","37.8","40","2","0","3.69","1.19","16","34","11","5","37","0","2","0","0%"
"Shelby Miller","ARI","RP","52.9","50","3","0","4.28","1.27","25","48","20","7","50","0","3","0","2%"
"Joe Jimenez","ATL","RP","25.1","30","1","0","3.52","1.15","10","21","8","3","25","0","1","0","1%"
"John King","STL","RP","59.3","40","3","0","3.76","1.32","25","62","16","5","55","0","3","0","0%"
"Brennan Bernardino","BOS","SP,RP","49.4","50","2","0","4.02","1.33","22","47","19","5","49","0","2","0","0%"
"John Brebbia","DET","RP","52.9","56","3","0","4.14","1.25","24","49","17","8","52","0","3","0","0%"
"Sean Hjelle","SF","RP","66.2","56","3","0","3.94","1.31","29","68","19","6","56","0","3","0","0%"
"Brent Headrick","NYY","SP,RP","35.8","36","2","0","4.08","1.25","16","33","12","6","32","0","2","0","0%"
"Luke Jackson","TEX","RP","54.3","58","3","0","4.02","1.35","24","49","25","6","52","0","3","0","0%"
"Richard Lovelady","TOR","RP","28.0","26","2","0","3.75","1.22","12","26","8","3","27","0","2","0","0%"
"Kaleb Ort","HOU","RP","56.9","60","3","0","4.22","1.31","27","51","24","8","54","0","3","0","0%"
"Drey Jameson","ARI","RP","43.2","38","2","0","4.19","1.36","20","43","16","5","37","0","2","0","0%"
"Cody Poteet","CHC","SP","30.3","27","2","0","3.97","1.27","13","28","10","4","24","1","1","0","0%"
"Bryan Baker","BAL","RP","47.8","50","3","0","4.01","1.30","21","42","20","6","45","0","2","0","0%"
"Yilber Diaz","ARI","SP","49.0","50","3","0","4.20","1.37","23","44","23","6","33","2","2","0","0%"
"Jose Quijada","LAA","RP","55.6","63","3","0","4.11","1.34","25","46","28","7","54","0","3","0","0%"
"Max Lazar","PHI","RP","38.1","33","2","0","4.08","1.26","17","37","11","5","35","0","2","0","0%"
"Dane Dunning","TEX","SP,RP","73.0","65","3","0","4.33","1.32","35","71","26","10","46","4","4","0","0%"
"Trevor Stephan","CLE","RP","34.8","37","2","1","3.92","1.26","15","31","13","4","34","0","2","0","0%"
"Angel Zerpa","KC","RP","58.0","50","3","0","3.86","1.30","25","57","19","6","54","0","3","0","0%"
"Joe Kelly","","RP","32.2","38","2","0","3.68","1.31","13","26","16","3","32","0","2","0","1%"
"Forrest Whitley","HOU","RP","47.9","51","2","0","3.99","1.34","21","42","22","5","45","0","2","0","0%"
"Kendall Graveman","ARI","RP","50.1","48","3","0","4.05","1.37","23","46","22","6","49","0","3","0","0%"
"Andrew Walters","CLE","RP","45.6","51","2","0","4.01","1.32","20","38","22","6","47","0","2","0","0%"
"Walter Pennington","TEX","RP","36.9","35","2","0","3.88","1.33","16","34","15","4","35","0","2","0","0%"
"Dauri Moreta","PIT","RP","31.5","33","2","0","3.98","1.25","14","27","12","4","31","0","2","0","0%"
"Jalen Beeks","HOU","SP,RP","47.0","43","3","0","4.06","1.36","21","45","18","5","45","0","2","0","2%"
"Scott Effross","NYY","RP","28.7","24","2","0","3.92","1.26","12","27","9","3","27","0","1","0","0%"
"Brandon Young","BAL","SP","29.8","28","2","0","3.97","1.27","13","28","10","4","25","1","1","0","0%"
"Spencer Bivens","SF","RP","40.8","31","2","0","4.13","1.34","19","41","14","5","35","0","2","0","0%"
"Drew Smyly","","SP,RP","42.6","41","2","0","4.29","1.30","20","41","15","7","36","1","3","0","1%"
"Cionel Perez","BAL","RP","58.0","50","3","0","3.84","1.39","25","54","27","5","58","0","3","0","0%"
"Pedro Avila","","RP","49.7","47","3","0","4.45","1.38","25","46","23","6","28","1","2","0","0%"
"Kyle Nelson","ARI","RP","29.5","29","2","0","4.07","1.29","13","27","11","4","29","0","1","0","0%"
"Adam Ottavino","BOS","RP","39.9","42","2","0","4.10","1.30","18","36","17","4","39","0","2","0","4%"
"Sam Hentges","CLE","RP","22.6","23","1","0","3.86","1.29","10","20","9","2","21","0","1","0","0%"
"Randy Rodriguez","SF","RP","52.2","52","2","0","4.06","1.35","24","46","25","6","46","0","3","0","0%"
"Alex Faedo","TB","SP,RP","58.0","56","3","0","4.33","1.30","28","53","22","9","46","2","3","0","0%"
"J.T. Ginn","ATH","SP,RP","84.1","63","4","0","4.53","1.38","42","87","30","10","27","13","5","0","0%"
"Enyel De Los Santos","ATL","RP","38.1","38","2","0","4.19","1.30","18","35","14","5","37","0","2","0","0%"
"Daniel Palencia","CHC","RP","35.1","40","2","0","3.91","1.34","15","29","18","4","32","0","2","0","0%"
"Franco Aleman","CLE","RP","23.3","24","2","0","3.95","1.29","10","21","9","3","23","0","1","0","0%"
"Ron Marinaccio","SD","RP","36.7","37","2","0","4.14","1.33","17","31","18","5","35","0","2","0","0%"
"Fraser Ellard","CWS","RP","59.0","58","3","3","4.17","1.41","27","54","29","7","57","0","4","0","0%"
"Shane Smith","CWS","SP,RP","67.7","63","3","1","4.31","1.34","32","65","26","9","44","5","4","0","1%"
"Colin Selby","BAL","RP","36.6","38","2","0","3.87","1.34","16","32","17","4","35","0","2","0","0%"
"Nick Anderson","STL","RP","31.3","27","2","0","4.38","1.34","15","31","11","5","31","0","2","0","0%"
"Matt Manning","DET","SP","38.6","32","2","0","4.16","1.28","18","36","13","5","22","3","2","0","0%"
"Scott Alexander","COL","RP","53.4","40","3","1","4.05","1.35","24","55","17","5","52","0","3","0","0%"
"Brent Suter","CIN","SP,RP","60.5","47","2","0","4.39","1.34","30","63","18","9","55","0","3","0","0%"
"Clayton Beeter","NYY","SP,RP","28.3","33","1","0","3.77","1.28","12","23","13","3","25","0","1","0","0%"
"Bennett Sousa","HOU","RP","30.8","31","2","0","3.95","1.32","14","28","12","4","30","0","2","0","0%"
"Josh Winckowski","BOS","SP,RP","48.2","40","2","0","4.01","1.34","21","49","16","5","41","0","3","0","0%"
"Joe Ross","PHI","SP,RP","59.1","50","3","0","4.48","1.37","29","59","22","8","40","3","3","0","0%"
"Zack Kelly","BOS","SP,RP","33.5","35","2","0","4.11","1.36","15","29","16","4","31","0","2","0","0%"
"Buck Farmer","ATL","RP","52.1","51","3","0","4.25","1.33","25","47","22","7","49","0","2","0","0%"
"Mike Burrows","PIT","SP,RP","32.5","29","2","0","4.41","1.35","16","31","13","4","24","1","2","0","0%"
"Andrew Misiaszek","CLE","RP","29.7","30","2","0","3.94","1.34","13","27","13","4","29","0","1","0","0%"
"Austin Voth","","RP","52.7","50","2","0","4.44","1.29","26","50","18","8","47","1","3","0","0%"
"Penn Murfee","CWS","SP,RP","45.2","43","2","0","4.09","1.30","21","41","17","6","44","0","3","0","0%"
"Brooks Raley","","RP","21.7","22","1","1","3.93","1.29","9","19","9","2","22","0","1","0","1%"
"Chase Lee","DET","RP","18.1","17","1","0","3.61","1.24","7","16","6","2","18","0","1","0","0%"
"Huascar Brazoban","NYM","RP","44.6","46","2","0","4.01","1.34","20","39","21","5","41","0","2","0","0%"
"Tyler Wells","BAL","SP","19.1","17","1","0","4.34","1.20","9","18","5","4","14","0","1","0","0%"
"Daniel Robert","TEX","RP","31.1","32","2","0","4.18","1.30","14","28","13","4","29","0","2","0","0%"
"Kevin Herget","NYM","RP","30.3","27","2","0","4.09","1.23","14","29","8","4","26","0","2","0","0%"
"Domingo Gonzalez","ATL","RP","35.6","37","2","0","4.17","1.34","17","32","15","4","33","0","2","0","0%"
"Trevor McDonald","SF","SP,RP","31.7","25","2","0","3.98","1.33","14","31","11","3","27","0","2","0","0%"
"Nick Hernandez","HOU","RP","39.8","42","2","0","4.21","1.28","19","35","16","6","36","0","2","0","0%"
"Hunter Stratton","PIT","RP","21.7","20","1","0","4.14","1.33","10","20","9","2","20","0","1","0","0%"
"Jhony Brito","SD","RP","40.7","31","2","0","4.14","1.31","19","41","13","5","31","1","2","0","0%"
"Marc Church","TEX","RP","49.7","51","2","3","4.29","1.32","24","46","20","7","45","0","3","0","1%"
"Michael Kelly","ATH","RP","21.3","20","1","0","4.31","1.35","10","20","9","3","20","0","1","0","0%"
"Chad Patrick","MIL","SP","24.3","22","1","0","4.20","1.26","11","23","7","4","23","0","1","0","0%"
"JT Chargois","TEX","RP","21.0","19","1","0","4.12","1.30","10","19","8","3","20","0","1","0","0%"
"Carson Ragsdale","SF","SP","23.4","24","1","0","4.14","1.31","11","21","9","3","20","1","1","0","0%"
"Enoli Paredes","ATL","RP","21.2","23","1","0","3.66","1.29","9","16","12","2","17","0","1","0","0%"
"Michael Fulmer","BOS","RP","52.6","52","3","0","4.17","1.35","24","49","22","6","51","0","3","0","1%"
"Mike Clevinger","CWS","SP","54.0","47","2","9","4.47","1.30","27","53","18","8","45","0","3","0","5%"
"Seth Martinez","MIA","RP","44.5","37","2","0","4.20","1.34","21","42","17","6","41","0","2","0","0%"
"Evan Reifert","WSH","RP","28.4","33","1","1","4.02","1.32","13","23","14","3","26","0","1","0","0%"
"Ian Seymour","TB","SP","31.1","29","2","0","4.20","1.27","15","29","11","4","14","4","2","0","0%"
"Justin Sterner","ATH","RP","43.5","43","2","0","4.34","1.31","21","40","17","7","40","0","2","0","0%"
"Alek Manoah","TOR","SP","21.7","21","1","0","4.18","1.27","10","19","8","3","10","3","1","0","1%"
"Jose Suarez","LAA","SP,RP","66.0","64","3","0","4.45","1.35","33","64","25","10","47","4","4","0","0%"
"Eiberson Castellano","MIN","SP,RP","31.2","29","2","0","4.24","1.33","15","30","12","4","28","0","2","0","0%"
"Luis Contreras","HOU","RP","35.4","35","2","0","4.21","1.32","17","32","15","5","33","0","2","0","0%"
"Jose Ruiz","PHI","RP","59.3","58","3","0","4.29","1.33","28","55","23","8","56","0","3","0","0%"
"Jack Dreyer","LAD","RP","29.7","30","2","0","4.09","1.32","13","27","12","4","30","0","2","0","0%"
"Jacob Lopez","ATH","SP,RP","27.1","26","1","0","4.10","1.31","12","24","12","3","23","0","1","0","0%"
"Chase Silseth","LAA","SP","53.9","51","2","0","4.33","1.34","26","50","22","8","35","4","3","0","0%"
"JT Brubaker","NYY","SP,RP","48.7","45","2","0","4.44","1.32","24","47","17","7","35","3","2","0","0%"
"Kody Funderburk","MIN","RP","45.8","46","2","0","3.84","1.34","20","42","19","4","41","0","2","0","0%"
"Tyler Alexander","MIL","SP,RP","53.3","45","3","0","4.62","1.26","27","55","12","10","36","2","3","0","0%"
"Grant Holman","ATH","RP","55.5","52","3","0","4.03","1.34","25","51","23","6","54","0","3","0","0%"
"Jesse Chavez","TEX","RP","31.0","28","1","0","4.22","1.31","15","30","11","5","28","0","1","0","1%"
"Evan Sisk","KC","RP","30.7","29","2","0","3.87","1.39","13","28","15","2","30","0","2","0","0%"
"Brendon Little","TOR","RP","57.7","50","3","0","3.83","1.38","25","53","26","5","56","0","3","0","0%"
"Sean Reid-Foley","NYM","RP","28.3","31","1","0","4.04","1.41","13","24","16","3","26","0","1","0","0%"
"Mason Fluharty","TOR","RP","22.2","21","1","0","4.12","1.31","10","21","8","3","22","0","1","0","0%"
"Kyle Amendt","ARI","RP","14.7","17","1","0","3.92","1.37","6","13","7","2","15","0","1","0","0%"
"Gunnar Hoglund","ATH","SP","66.1","49","3","0","4.69","1.31","34","67","20","10","33","7","4","0","0%"
"Carson Whisenhunt","SF","SP","27.8","27","1","0","4.15","1.34","13","26","11","3","12","4","1","0","1%"
"Declan Cronin","MIA","RP","66.9","58","3","1","4.03","1.39","30","67","26","6","62","0","3","0","0%"
"Lucas Sims","WSH","RP","56.4","58","3","1","4.49","1.38","28","48","29","8","55","0","4","0","0%"
"Colton Gordon","HOU","SP","18.7","16","1","0","4.26","1.27","9","18","6","3","11","2","1","0","0%"
"Cam Booser","CWS","RP","51.7","54","2","1","4.35","1.39","25","48","24","7","50","0","3","0","0%"
"Ty Madden","DET","SP,RP","23.3","22","1","0","4.37","1.33","11","22","9","3","21","0","1","0","0%"
"Ryan Borucki","PIT","RP","27.5","27","1","0","4.13","1.33","13","26","11","4","27","0","1","0","0%"
"Cole Sulser","TB","RP","28.0","27","1","0","4.18","1.34","13","26","12","4","26","0","1","0","0%"
"Sam Long","KC","RP","55.1","49","2","0","4.26","1.35","26","52","22","7","52","0","3","0","0%"
"Omar Cruz","SD","RP","21.5","21","1","0","4.05","1.34","10","19","9","3","20","0","1","0","0%"
"Bryce Elder","ATL","SP","49.1","40","3","0","4.35","1.38","24","50","18","6","15","7","3","0","0%"
"Keynan Middleton","","RP","18.4","20","1","0","4.09","1.29","8","16","8","2","18","0","1","0","0%"
"Miguel Castro","HOU","RP","24.6","22","1","1","4.36","1.34","12","23","10","3","24","0","1","0","0%"
"Matt Moore","BOS","RP","31.0","29","2","0","4.54","1.40","16","29","14","5","30","0","2","0","1%"
"Giovanny Gallegos","LAD","RP","28.1","27","1","0","4.64","1.32","15","27","10","5","27","0","2","0","1%"
"Brandyn Garcia","SEA","SP","18.8","17","1","0","3.94","1.31","8","17","7","2","19","0","1","0","0%"
"Connor Thomas","MIL","RP","43.0","31","2","0","4.11","1.33","20","45","12","5","39","0","2","0","0%"
"Carson Seymour","SF","SP","24.4","20","1","0","4.10","1.35","11","24","8","3","21","1","1","0","0%"
"Nick Robertson","TOR","RP","39.0","37","2","0","4.09","1.33","18","37","15","5","36","0","2","0","0%"
"Devin Sweet","PHI","RP","23.5","24","1","0","4.44","1.33","12","21","10","4","22","0","2","0","0%"
"Steven Okert","HOU","RP","42.0","45","2","0","4.27","1.30","20","37","18","7","42","0","2","0","0%"
"Emmet Sheehan","LAD","SP","23.8","28","2","0","4.26","1.26","11","18","12","3","8","2","1","0","0%"
"Luis Guerrero","BOS","RP","43.1","44","2","0","4.30","1.40","21","39","21","5","41","0","2","0","0%"
"Ethan Small","SF","RP","15.1","15","1","0","4.05","1.36","7","14","7","2","12","0","1","0","0%"
"Hunter Strickland","TEX","RP","31.9","27","1","0","4.59","1.35","16","30","13","5","31","0","2","0","1%"
"Ethan Roberts","CHC","RP","30.3","29","1","0","4.14","1.33","14","28","12","4","29","0","2","0","0%"
"Sem Robberse","STL","SP","23.4","18","1","0","4.30","1.34","11","23","8","3","18","1","1","0","0%"
"Jack Neely","CHC","RP","23.4","26","1","0","4.01","1.28","10","21","9","3","23","0","1","0","0%"
"Josh Walker","TOR","RP","30.3","31","1","0","4.05","1.34","14","27","14","4","29","0","1","0","0%"
"Josh Simpson","MIA","RP","35.4","38","2","0","4.08","1.40","16","32","17","4","34","0","2","0","0%"
"Alek Jacob","SD","RP","41.2","39","2","0","4.22","1.33","19","39","16","6","36","0","2","0","0%"
"Justin Hagenman","NYM","RP","16.9","15","1","0","4.53","1.33","9","17","6","3","16","0","1","0","0%"
"Patrick Sandoval","BOS","SP","20.7","20","1","0","4.17","1.41","10","20","9","2","7","3","1","0","1%"
"Luis Curvelo","TEX","RP","20.8","19","1","0","4.39","1.30","10","19","8","3","20","0","1","0","0%"
"Yoendrys Gomez","NYY","SP,RP","38.1","36","2","0","4.44","1.34","19","34","17","6","30","1","2","0","0%"
"Tommy Nance","TOR","RP","48.3","44","2","0","4.14","1.33","22","47","18","6","46","0","3","0","0%"
"Jacob Waguespack","TB","SP,RP","40.3","41","2","0","4.15","1.35","19","38","16","5","31","1","2","0","0%"
"Trevor Gott","SEA","RP","14.0","13","1","0","4.11","1.25","6","13","4","2","14","0","1","0","0%"
"Trevor Richards","CHC","RP","26.6","29","1","0","4.40","1.33","13","23","12","4","25","0","1","0","0%"
"Matt Gage","DET","RP","17.9","18","1","0","4.07","1.32","8","16","8","2","14","0","1","0","0%"
"Zach Agnos","COL","RP","26.6","23","2","0","4.73","1.36","14","27","9","4","26","0","2","0","0%"
"Francis Pena","SD","RP","23.3","20","1","0","4.21","1.37","11","23","9","3","23","0","1","0","0%"
"Dillon Tate","TOR","RP","35.5","27","2","0","4.08","1.29","16","35","11","4","33","0","2","0","0%"
"Michael Petersen","LAA","RP","36.2","35","2","0","4.44","1.35","18","33","16","5","35","0","2","0","0%"
"Joe Rock","TB","SP","24.7","20","1","0","4.20","1.32","12","25","7","3","16","2","1","0","0%"
"Austin Davis","SD","RP","13.6","15","1","0","3.96","1.34","6","11","7","1","13","0","1","0","0%"
"AJ Blubaugh","HOU","SP","9.0","8","1","0","4.07","1.40","4","10","3","1","7","0","1","0","0%"
"Anthony Misiewicz","MIN","RP","32.2","31","2","0","4.34","1.35","16","32","11","4","31","0","2","0","0%"
"Andrew Morris","MIN","SP","11.2","9","1","0","4.08","1.31","5","11","3","2","11","0","1","0","0%"
"Justin Wilson","BOS","RP","55.4","57","2","0","4.28","1.34","26","55","19","8","56","0","3","0","0%"
"Andrew Wantz","TB","SP,RP","9.9","10","0","0","4.50","1.32","5","9","4","2","7","0","0","0","0%"
"Lou Trivino","SF","RP","45.9","44","3","0","4.24","1.37","22","44","19","5","42","0","3","0","0%"
"Brandon Eisert","CWS","RP","23.8","22","1","0","4.04","1.31","11","23","9","3","21","0","1","0","0%"
"Nate Lavender","TB","RP","23.0","25","1","0","4.33","1.44","11","20","13","3","23","0","1","0","0%"
"Dany Jimenez","ATL","RP","17.8","19","1","1","4.72","1.40","9","15","10","3","17","0","1","0","0%"
"Johan Oviedo","PIT","SP","67.5","59","3","0","4.42","1.38","33","64","29","8","26","9","4","0","0%"
"Jacob Barnes","TOR","RP","39.1","34","2","0","4.41","1.31","19","38","13","6","36","0","2","0","0%"
"Zack Thompson","STL","SP,RP","34.4","34","2","0","4.22","1.39","16","31","16","4","30","0","2","0","0%"
"Drew Pomeranz","SEA","RP","14.8","16","0","0","3.89","1.28","6","13","6","2","14","0","1","0","0%"
"Angel Bastardo","TOR","SP","15.7","14","1","0","4.23","1.34","7","15","6","2","15","0","1","0","0%"
"Drew Smith","NYM","RP","14.4","15","1","0","4.26","1.31","7","13","6","2","14","0","1","0","0%"
"Riley O'Brien","STL","RP","44.6","45","2","0","4.11","1.41","20","40","22","5","41","0","2","0","0%"
"Jay Jackson","","RP","19.4","20","1","0","4.34","1.26","9","18","6","3","16","0","1","0","0%"
"Huascar Ynoa","MIN","SP,RP","18.7","18","1","0","4.46","1.39","9","18","8","3","18","0","1","0","0%"
"Hayden Harris","ATL","RP","19.2","21","1","0","4.02","1.38","9","17","9","2","20","0","1","0","0%"
"Mason Englert","TB","RP","41.2","38","2","0","4.32","1.28","20","40","13","6","35","0","2","0","0%"
"Anderson Pilar","ATL","RP","16.8","15","1","0","4.13","1.32","8","16","6","2","16","0","1","0","0%"
"Ben Casparius","LAD","SP,RP","36.4","36","2","0","4.56","1.38","18","34","17","5","31","0","2","0","0%"
"Michael Flynn","TB","RP","19.6","21","1","0","4.77","1.32","10","18","8","3","18","0","1","0","0%"
"Kelvin Caceres","LAA","RP","11.1","13","0","0","3.93","1.36","5","9","6","1","9","0","0","0","0%"
"Logan VanWey","HOU","RP","32.1","33","2","0","4.12","1.40","15","29","16","4","32","0","2","0","0%"
"Vince Velasquez","CLE","SP,RP","17.2","17","1","0","4.34","1.33","8","16","7","3","12","1","1","0","2%"
"Blake Weiman","HOU","RP","11.2","10","1","0","4.37","1.29","5","11","3","2","11","0","1","0","0%"
"Jose Cisnero","","RP","22.2","24","1","0","4.34","1.38","11","20","11","3","21","0","1","0","0%"
"Eric Orze","TB","RP","39.8","42","2","0","4.13","1.35","18","36","18","5","39","0","2","0","0%"
"Edgardo Henriquez","LAD","RP","21.2","23","1","0","4.24","1.41","10","18","11","3","21","0","1","0","0%"
"Davis Daniel","ATL","SP","16.3","14","1","0","4.36","1.32","8","17","5","2","12","0","1","0","0%"
"Nick Frasso","LAD","SP","12.9","12","1","0","4.14","1.29","6","12","4","2","13","0","1","0","0%"
"Joe La Sorsa","CIN","RP","19.3","14","1","0","4.16","1.23","9","19","5","3","16","0","1","0","0%"
"Logan Evans","SEA","SP,RP","16.0","12","1","0","4.33","1.37","8","16","6","2","8","2","1","0","0%"
"Nick Vespi","PHI","RP","16.8","15","1","0","4.31","1.37","8","15","8","2","16","0","0","0","0%"
"Shawn Dubin","HOU","RP","28.0","29","1","0","4.08","1.39","13","25","14","3","25","0","1","0","0%"
"Will Dion","CLE","SP","11.6","10","1","0","4.18","1.37","5","12","4","2","9","1","1","0","0%"
"Blas Castano","SEA","SP","25.2","20","1","0","4.26","1.33","12","25","8","3","19","2","1","0","0%"
"Jordan Balazovic","DET","RP","8.6","7","0","0","4.23","1.39","4","8","4","1","7","0","0","0","0%"
"Cory Lewis","MIN","SP","11.5","10","1","0","4.45","1.40","6","11","5","1","10","0","1","0","0%"
"Ronny Henriquez","MIA","RP","46.7","40","2","0","4.24","1.36","22","47","16","6","41","0","2","0","0%"
"Doug Nikhazy","CLE","SP","33.8","33","1","0","4.29","1.41","16","31","17","4","28","0","1","0","0%"
"Jose Urquidy","DET","SP","20.6","17","1","0","4.61","1.27","11","21","6","4","4","4","1","0","0%"
"Peter Strzelecki","PIT","RP","26.8","24","1","0","4.42","1.36","13","26","10","3","26","0","1","0","0%"
"Max Rajcic","STL","SP","9.3","7","1","0","4.64","1.30","5","9","3","1","9","0","1","0","0%"
"Tyler Mattison","DET","SP,RP","18.0","18","1","0","4.19","1.34","8","16","8","2","18","0","1","0","0%"
